
root@lamp-s-1vcpu-1gb-tor1-01:~# clear
root@lamp-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
19:16:10.855527 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 3575530679:3575530787, ack 3367172592, win 310, length 108
19:16:10.969568 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 100256:100412, ack 37, win 310, length 156
19:16:10.969679 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 100412:100568, ack 37, win 310, length 156
19:16:10.969792 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 100568:100724, ack 37, win 310, length 156
19:16:10.969932 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 100724:100880, ack 37, win 310, length 156
19:16:10.970052 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 100880:101036, ack 37, win 310, length 156
19:16:10.970204 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 101036:101192, ack 37, win 310, length 156
19:16:10.970360 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 101192:101348, ack 37, win 310, length 156
19:16:10.970479 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 101348:101504, ack 37, win 310, length 156
19:16:10.970593 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 101504:101660, ack 37, win 310, length 156
19:16:10.970707 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 101660:101816, ack 37, win 310, length 156
19:16:10.970822 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 101816:101972, ack 37, win 310, length 156
19:16:10.970934 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 101972:102128, ack 37, win 310, length 156
19:16:10.971047 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 102128:102284, ack 37, win 310, length 156
19:16:10.971166 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 102284:102440, ack 37, win 310, length 156
19:16:10.971281 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 102440:102596, ack 37, win 310, length 156
19:16:10.971393 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 102596:102752, ack 37, win 310, length 156
19:16:10.971505 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 102752:102908, ack 37, win 310, length 156
19:16:10.971618 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 102908:103064, ack 37, win 310, length 156
19:16:10.971734 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 103064:103220, ack 37, win 310, length 156
19:16:10.971850 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 103220:103376, ack 37, win 310, length 156
19:16:10.971994 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 103376:103532, ack 37, win 310, length 156
19:16:10.972148 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 103532:103688, ack 37, win 310, length 156
19:16:10.972346 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 103688:103844, ack 37, win 310, length 156
19:16:10.972483 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 103844:104000, ack 37, win 310, length 156
19:16:10.972605 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 104000:104156, ack 37, win 310, length 156
19:16:10.972722 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 104156:104312, ack 37, win 310, length 156
19:16:10.972838 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 104312:104468, ack 37, win 310, length 156
19:16:10.972980 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 104468:104624, ack 37, win 310, length 156
19:16:10.973071 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 91380, win 512, length 0
19:16:10.973206 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 104624:104884, ack 37, win 310, length 260
19:16:10.973330 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 104884:105040, ack 37, win 310, length 156
19:16:10.973445 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 105040:105196, ack 37, win 310, length 156
19:16:10.973468 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 96668, win 512, length 0
19:16:10.973481 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 100568, win 512, length 0
19:16:10.973668 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 105196:105552, ack 37, win 310, length 356
19:16:10.973794 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 105552:105708, ack 37, win 310, length 156
19:16:10.973967 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 105708:105864, ack 37, win 310, length 156
19:16:10.974092 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 105864:106020, ack 37, win 310, length 156
19:16:10.974213 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 106020:106176, ack 37, win 310, length 156
19:16:10.974352 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 106176:106332, ack 37, win 310, length 156
19:16:10.974489 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 106332:106488, ack 37, win 310, length 156
19:16:10.974599 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 106488:106644, ack 37, win 310, length 156
19:16:10.974710 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 106644:106800, ack 37, win 310, length 156
19:16:10.974840 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 106800:106956, ack 37, win 310, length 156
19:16:10.974958 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 106956:107112, ack 37, win 310, length 156
19:16:10.975070 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 107112:107268, ack 37, win 310, length 156
19:16:10.975181 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 107268:107424, ack 37, win 310, length 156
19:16:10.975291 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 107424:107580, ack 37, win 310, length 156
19:16:10.975406 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 107580:107736, ack 37, win 310, length 156
19:16:10.975522 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 107736:107892, ack 37, win 310, length 156
19:16:10.975632 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 107892:108048, ack 37, win 310, length 156
19:16:10.975742 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 108048:108204, ack 37, win 310, length 156
19:16:10.975853 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 108204:108360, ack 37, win 310, length 156
19:16:10.975988 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 108360:108516, ack 37, win 310, length 156
19:16:10.976106 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 108516:108672, ack 37, win 310, length 156
19:16:10.976219 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 108672:108828, ack 37, win 310, length 156
19:16:10.976331 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 108828:108984, ack 37, win 310, length 156
19:16:10.976441 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 108984:109140, ack 37, win 310, length 156
19:16:10.976551 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 109140:109296, ack 37, win 310, length 156
19:16:10.976661 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 109296:109452, ack 37, win 310, length 156
19:16:10.976772 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 109452:109608, ack 37, win 310, length 156
19:16:10.976882 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 109608:109764, ack 37, win 310, length 156
19:16:10.976993 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 109764:109920, ack 37, win 310, length 156
19:16:10.977160 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 109920:110076, ack 37, win 310, length 156
19:16:10.977298 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 110076:110232, ack 37, win 310, length 156
19:16:10.977415 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 110232:110388, ack 37, win 310, length 156
19:16:10.977528 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 110388:110544, ack 37, win 310, length 156
19:16:10.977641 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 110544:110700, ack 37, win 310, length 156
19:16:10.977754 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 110700:110856, ack 37, win 310, length 156
19:16:10.977869 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 110856:111012, ack 37, win 310, length 156
19:16:10.978016 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 111012:111168, ack 37, win 310, length 156
19:16:10.978133 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 111168:111324, ack 37, win 310, length 156
19:16:10.978247 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 111324:111480, ack 37, win 310, length 156
19:16:10.978366 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 111480:111636, ack 37, win 310, length 156
19:16:10.978479 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 111636:111792, ack 37, win 310, length 156
19:16:10.978589 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 111792:111948, ack 37, win 310, length 156
19:16:10.978701 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 111948:112104, ack 37, win 310, length 156
19:16:10.978813 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 112104:112260, ack 37, win 310, length 156
19:16:10.978924 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 112260:112416, ack 37, win 310, length 156
19:16:10.979035 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 112416:112572, ack 37, win 310, length 156
19:16:10.979149 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 112572:112728, ack 37, win 310, length 156
19:16:10.979261 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 112728:112884, ack 37, win 310, length 156
19:16:10.979373 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 112884:113040, ack 37, win 310, length 156
19:16:10.979485 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 113040:113196, ack 37, win 310, length 156
19:16:10.979598 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 113196:113352, ack 37, win 310, length 156
19:16:10.979710 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 113352:113508, ack 37, win 310, length 156
19:16:10.979821 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 113508:113664, ack 37, win 310, length 156
19:16:10.979964 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 113664:113820, ack 37, win 310, length 156
19:16:10.980083 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 113820:113976, ack 37, win 310, length 156
19:16:10.980201 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 113976:114132, ack 37, win 310, length 156
19:16:10.980314 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 114132:114288, ack 37, win 310, length 156
19:16:10.980428 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 114288:114444, ack 37, win 310, length 156
19:16:10.980542 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 114444:114600, ack 37, win 310, length 156
19:16:10.980653 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 114600:114756, ack 37, win 310, length 156
19:16:10.980768 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 114756:114912, ack 37, win 310, length 156
19:16:10.980880 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 114912:115068, ack 37, win 310, length 156
19:16:10.980992 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 115068:115224, ack 37, win 310, length 156
19:16:10.981103 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 115224:115380, ack 37, win 310, length 156
19:16:10.981213 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 115380:115536, ack 37, win 310, length 156
19:16:10.981341 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 115536:115692, ack 37, win 310, length 156
19:16:10.981460 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 115692:115848, ack 37, win 310, length 156
19:16:10.981575 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 115848:116004, ack 37, win 310, length 156
19:16:10.981688 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 116004:116160, ack 37, win 310, length 156
19:16:10.981799 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 116160:116316, ack 37, win 310, length 156
19:16:10.981944 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 116316:116472, ack 37, win 310, length 156
19:16:10.982084 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 116472:116628, ack 37, win 310, length 156
19:16:10.982199 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 116628:116784, ack 37, win 310, length 156
19:16:10.982333 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 116784:116940, ack 37, win 310, length 156
19:16:10.982454 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 116940:117096, ack 37, win 310, length 156
19:16:10.982570 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 117096:117252, ack 37, win 310, length 156
19:16:10.982682 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 117252:117408, ack 37, win 310, length 156
19:16:10.982794 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 117408:117564, ack 37, win 310, length 156
19:16:10.982906 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 117564:117720, ack 37, win 310, length 156
19:16:10.983018 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 117720:117876, ack 37, win 310, length 156
19:16:10.983129 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 117876:118032, ack 37, win 310, length 156
19:16:10.983181 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 105864, win 512, length 0
19:16:10.983219 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 110856, win 512, length 0
19:16:10.983240 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 113664, win 512, length 0
19:16:10.983414 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 118032:118492, ack 37, win 310, length 460
19:16:10.983540 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 118492:118648, ack 37, win 310, length 156
19:16:10.983653 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 118648:118804, ack 37, win 310, length 156
19:16:10.983766 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 118804:118960, ack 37, win 310, length 156
19:16:10.983897 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 118960:119116, ack 37, win 310, length 156
19:16:10.984012 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 119116:119272, ack 37, win 310, length 156
19:16:10.984125 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 119272:119428, ack 37, win 310, length 156
19:16:10.984236 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 119428:119584, ack 37, win 310, length 156
19:16:10.984348 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 119584:119740, ack 37, win 310, length 156
19:16:10.984460 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 119740:119896, ack 37, win 310, length 156
19:16:10.984573 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 119896:120052, ack 37, win 310, length 156
19:16:10.984683 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 120052:120208, ack 37, win 310, length 156
19:16:10.984794 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 120208:120364, ack 37, win 310, length 156
19:16:10.984925 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 120364:120520, ack 37, win 310, length 156
19:16:10.985039 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 120520:120676, ack 37, win 310, length 156
19:16:10.985151 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 120676:120832, ack 37, win 310, length 156
19:16:10.985265 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 120832:120988, ack 37, win 310, length 156
19:16:10.985378 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 120988:121144, ack 37, win 310, length 156
19:16:10.985492 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 121144:121300, ack 37, win 310, length 156
19:16:10.985604 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 121300:121456, ack 37, win 310, length 156
19:16:10.985717 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 121456:121612, ack 37, win 310, length 156
19:16:10.985829 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 121612:121768, ack 37, win 310, length 156
19:16:10.985981 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 121768:121924, ack 37, win 310, length 156
19:16:10.986101 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 121924:122080, ack 37, win 310, length 156
19:16:10.986221 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 122080:122236, ack 37, win 310, length 156
19:16:10.986335 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 122236:122392, ack 37, win 310, length 156
19:16:10.986449 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 122392:122548, ack 37, win 310, length 156
19:16:10.986562 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 122548:122704, ack 37, win 310, length 156
19:16:10.986679 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 122704:122860, ack 37, win 310, length 156
19:16:10.986792 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 122860:123016, ack 37, win 310, length 156
19:16:10.986919 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 123016:123172, ack 37, win 310, length 156
19:16:10.987036 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 123172:123328, ack 37, win 310, length 156
19:16:10.987151 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 123328:123484, ack 37, win 310, length 156
19:16:10.987272 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 123484:123640, ack 37, win 310, length 156
19:16:10.987407 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 123640:123796, ack 37, win 310, length 156
19:16:10.987524 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 123796:123952, ack 37, win 310, length 156
19:16:10.987637 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 123952:124108, ack 37, win 310, length 156
19:16:10.987750 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 124108:124264, ack 37, win 310, length 156
19:16:10.987864 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 124264:124420, ack 37, win 310, length 156
19:16:10.987997 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 124420:124576, ack 37, win 310, length 156
19:16:10.988112 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 124576:124732, ack 37, win 310, length 156
19:16:10.988225 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 124732:124888, ack 37, win 310, length 156
19:16:10.988339 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 124888:125044, ack 37, win 310, length 156
19:16:10.988460 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 125044:125200, ack 37, win 310, length 156
19:16:10.988575 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 125200:125356, ack 37, win 310, length 156
19:16:10.988688 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 125356:125512, ack 37, win 310, length 156
19:16:10.988800 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 125512:125668, ack 37, win 310, length 156
19:16:10.988914 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 125668:125824, ack 37, win 310, length 156
19:16:10.989026 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 125824:125980, ack 37, win 310, length 156
19:16:10.989138 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 125980:126136, ack 37, win 310, length 156
19:16:10.989250 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 126136:126292, ack 37, win 310, length 156
19:16:10.989362 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 126292:126448, ack 37, win 310, length 156
19:16:10.989475 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 126448:126604, ack 37, win 310, length 156
19:16:10.989588 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 126604:126760, ack 37, win 310, length 156
19:16:10.989702 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 126760:126916, ack 37, win 310, length 156
19:16:10.989815 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 126916:127072, ack 37, win 310, length 156
19:16:10.989957 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 127072:127228, ack 37, win 310, length 156
19:16:10.990096 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 127228:127384, ack 37, win 310, length 156
19:16:10.990213 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 127384:127540, ack 37, win 310, length 156
19:16:10.990327 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 127540:127696, ack 37, win 310, length 156
19:16:10.990440 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 127696:127852, ack 37, win 310, length 156
19:16:10.990553 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 127852:128008, ack 37, win 310, length 156
19:16:10.990667 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 128008:128164, ack 37, win 310, length 156
19:16:10.990779 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 128164:128320, ack 37, win 310, length 156
19:16:10.990891 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 128320:128476, ack 37, win 310, length 156
19:16:10.991003 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 128476:128632, ack 37, win 310, length 156
19:16:10.991172 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 128632:128788, ack 37, win 310, length 156
19:16:10.991313 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 128788:128944, ack 37, win 310, length 156
19:16:10.991433 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 128944:129100, ack 37, win 310, length 156
19:16:10.991559 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 129100:129256, ack 37, win 310, length 156
19:16:10.991679 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 129256:129412, ack 37, win 310, length 156
19:16:10.991796 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 129412:129568, ack 37, win 310, length 156
19:16:10.991934 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 129568:129724, ack 37, win 310, length 156
19:16:10.992051 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 129724:129880, ack 37, win 310, length 156
19:16:10.992166 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 129880:130036, ack 37, win 310, length 156
19:16:10.992284 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 130036:130192, ack 37, win 310, length 156
19:16:10.992400 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 130192:130348, ack 37, win 310, length 156
19:16:10.992516 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 130348:130504, ack 37, win 310, length 156
19:16:10.992631 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 130504:130660, ack 37, win 310, length 156
19:16:10.992743 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 130660:130816, ack 37, win 310, length 156
19:16:10.992856 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 130816:130972, ack 37, win 310, length 156
19:16:10.992970 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 130972:131128, ack 37, win 310, length 156
19:16:10.993085 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 131128:131284, ack 37, win 310, length 156
19:16:10.993201 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 131284:131440, ack 37, win 310, length 156
19:16:10.993316 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 131440:131596, ack 37, win 310, length 156
19:16:10.993430 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 131596:131752, ack 37, win 310, length 156
19:16:10.993543 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 118960, win 512, length 0
19:16:10.993638 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 123952, win 512, length 0
19:16:10.993664 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 127384, win 512, length 0
19:16:10.993820 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 131752:131908, ack 37, win 310, length 156
19:16:10.993978 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 131908:132248, ack 37, win 310, length 340
19:16:10.994088 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 132248:132404, ack 37, win 310, length 156
19:16:10.994193 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 132404:132560, ack 37, win 310, length 156
19:16:10.994295 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 132560:132716, ack 37, win 310, length 156
19:16:10.994398 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 132716:132872, ack 37, win 310, length 156
19:16:10.994501 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 132872:133028, ack 37, win 310, length 156
19:16:10.994604 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 133028:133184, ack 37, win 310, length 156
19:16:10.994707 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 133184:133340, ack 37, win 310, length 156
